drug_a,drug_b,severity,description
Warfarin,Aspirin,major,"Concurrent use markedly increases bleeding risk due to additive anticoagulant and antiplatelet effects."
Warfarin,Ibuprofen,major,"NSAIDs raise the risk of gastrointestinal bleeding and can potentiate warfarin's anticoagulant effect."
Warfarin,Azithromycin,moderate,"Azithromycin may increase the anticoagulant effect of warfarin; monitor INR closely."
Aspirin,Ibuprofen,moderate,"Ibuprofen can reduce the cardioprotective antiplatelet effect of low-dose aspirin."
Clopidogrel,Omeprazole,moderate,"Omeprazole can reduce the activation of clopidogrel, lowering its antiplatelet effectiveness."
Atorvastatin,Azithromycin,moderate,"Macrolides can raise statin levels, increasing the risk of muscle toxicity (myopathy)."
Metformin,Atorvastatin,minor,"Generally safe together; monitor blood glucose as statins may slightly affect glycaemic control."
Amlodipine,Atorvastatin,minor,"Amlodipine can modestly increase atorvastatin exposure; usually clinically insignificant."
Paracetamol,Warfarin,moderate,"Regular high-dose paracetamol may enhance the anticoagulant effect of warfarin."
Amoxicillin,Warfarin,moderate,"Antibiotics can disrupt gut flora and increase warfarin's anticoagulant effect."
Telmisartan,Ibuprofen,moderate,"NSAIDs may reduce the antihypertensive effect of telmisartan and impair renal function."
Losartan,Ibuprofen,moderate,"Combination may reduce blood-pressure control and increase risk of kidney impairment."
Pantoprazole,Atorvastatin,minor,"No clinically significant interaction expected."
Cetirizine,Montelukast,minor,"Commonly co-prescribed for allergy; no significant interaction."
